dataset_case,method,noise,seed,accuracy,neighbor_overlap,embed_time_sec,pipeline_time_sec,ambient_dim,embed_dim,accuracy_pct,neighbor_overlap_pct,embed_time_ms,pipeline_time_ms
standard,raw_knn,0.0,0,0.9866666666666667,,,0.01337033399977372,30,2,98.66666666666667,,,13.37033399977372
standard,raw_knn,0.0,1,0.9933333333333333,,,0.0015375419989140937,30,2,99.33333333333333,,,1.5375419989140937
standard,raw_knn,0.0,2,0.9833333333333333,,,0.0012670420001086313,30,2,98.33333333333333,,,1.2670420001086313
standard,raw_knn,0.1,0,0.99,,,0.001113124999392312,30,2,99.0,,,1.113124999392312
standard,raw_knn,0.1,1,0.9933333333333333,,,0.0011542920001375023,30,2,99.33333333333333,,,1.1542920001375023
standard,raw_knn,0.1,2,0.9833333333333333,,,0.0013609580000775168,30,2,98.33333333333333,,,1.3609580000775168
standard,raw_knn,0.2,0,0.9833333333333333,,,0.001165499999842723,30,2,98.33333333333333,,,1.165499999842723
standard,raw_knn,0.2,1,0.9866666666666667,,,0.0011144170002808096,30,2,98.66666666666667,,,1.1144170002808096
standard,raw_knn,0.2,2,0.9766666666666667,,,0.0011339159991621273,30,2,97.66666666666667,,,1.1339159991621273
standard,raw_knn,0.35,0,0.9833333333333333,,,0.001179832999696373,30,2,98.33333333333333,,,1.179832999696373
standard,raw_knn,0.35,1,0.9833333333333333,,,0.0011649169991869712,30,2,98.33333333333333,,,1.1649169991869712
standard,raw_knn,0.35,2,0.98,,,0.0012600409991136985,30,2,98.0,,,1.2600409991136985
standard,pca,0.0,0,0.95,0.4653333333333333,0.0006193749995873077,0.011371750000762404,30,2,95.0,46.53333333333333,0.6193749995873077,11.371750000762404
standard,pca,0.0,1,0.9833333333333333,0.28650000000000003,0.0005031670007156208,0.011767374999180902,30,2,98.33333333333333,28.650000000000002,0.5031670007156208,11.767374999180902
standard,pca,0.0,2,0.8933333333333333,0.4267499999999999,0.0003949170004489133,0.01023620799969649,30,2,89.33333333333333,42.67499999999999,0.3949170004489133,10.23620799969649
standard,pca,0.1,0,0.97,0.46,0.0003842920013994444,0.01027579099900322,30,2,97.0,46.0,0.3842920013994444,10.27579099900322
standard,pca,0.1,1,0.9866666666666667,0.2806666666666667,0.00038558300002478063,0.009968667000066489,30,2,98.66666666666667,28.066666666666666,0.38558300002478063,9.968667000066489
standard,pca,0.1,2,0.89,0.4278333333333333,0.0003923330004909076,0.010183374999542139,30,2,89.0,42.78333333333333,0.3923330004909076,10.183374999542139
standard,pca,0.2,0,0.95,0.4401666666666667,0.0003900419997080462,0.010142250001081266,30,2,95.0,44.01666666666667,0.3900419997080462,10.142250001081266
standard,pca,0.2,1,0.9833333333333333,0.27699999999999997,0.00039362499956041574,0.010608167000100366,30,2,98.33333333333333,27.699999999999996,0.39362499956041574,10.608167000100366
standard,pca,0.2,2,0.8933333333333333,0.41525,0.0003876669998135185,0.010294499999872642,30,2,89.33333333333333,41.525,0.3876669998135185,10.294499999872642
standard,pca,0.35,0,0.9533333333333334,0.4091666666666667,0.00038862499968672637,0.010555917000601767,30,2,95.33333333333334,40.91666666666667,0.38862499968672637,10.555917000601767
standard,pca,0.35,1,0.9733333333333334,0.25766666666666665,0.00038212499930523336,0.010045167000498623,30,2,97.33333333333334,25.766666666666666,0.38212499930523336,10.045167000498623
standard,pca,0.35,2,0.88,0.39275,0.0003860420001728926,0.010171792000619462,30,2,88.0,39.275,0.3860420001728926,10.171792000619462
standard,gaussian_rp,0.0,0,0.8133333333333334,0.34375,0.0003220409998903051,0.011435166001319885,30,2,81.33333333333333,34.375,0.3220409998903051,11.435166001319885
standard,gaussian_rp,0.0,1,0.8966666666666666,0.46008333333333334,0.0003309580006316537,0.010699082999053644,30,2,89.66666666666666,46.00833333333333,0.3309580006316537,10.699082999053644
standard,gaussian_rp,0.0,2,0.5933333333333334,0.25616666666666665,0.00029999999969732016,0.010011292000854155,30,2,59.333333333333336,25.616666666666667,0.29999999969732016,10.011292000854155
standard,gaussian_rp,0.1,0,0.8033333333333333,0.3421666666666667,0.0002985829996760003,0.010192042000198853,30,2,80.33333333333333,34.21666666666667,0.2985829996760003,10.192042000198853
standard,gaussian_rp,0.1,1,0.8966666666666666,0.4478333333333333,0.00029687499954889063,0.01002695799979847,30,2,89.66666666666666,44.78333333333333,0.29687499954889063,10.02695799979847
standard,gaussian_rp,0.1,2,0.5566666666666666,0.25825,0.00029733299925283063,0.009913584000969422,30,2,55.666666666666664,25.825,0.29733299925283063,9.913584000969422
standard,gaussian_rp,0.2,0,0.8133333333333334,0.33866666666666667,0.0002986660001624841,0.010005083000578452,30,2,81.33333333333333,33.86666666666667,0.2986660001624841,10.005083000578452
standard,gaussian_rp,0.2,1,0.8866666666666667,0.427,0.00030141599927446805,0.01000916600060009,30,2,88.66666666666667,42.699999999999996,0.30141599927446805,10.00916600060009
standard,gaussian_rp,0.2,2,0.5333333333333333,0.26,0.0003065839991904795,0.01002854199941794,30,2,53.333333333333336,26.0,0.3065839991904795,10.02854199941794
standard,gaussian_rp,0.35,0,0.8066666666666666,0.32508333333333334,0.0003023750014108373,0.01007995800136996,30,2,80.66666666666666,32.50833333333333,0.3023750014108373,10.07995800136996
standard,gaussian_rp,0.35,1,0.8766666666666667,0.39399999999999996,0.0002915840013884008,0.009993417001169291,30,2,87.66666666666667,39.4,0.2915840013884008,9.993417001169291
standard,gaussian_rp,0.35,2,0.5366666666666666,0.2549166666666666,0.000294916999337147,0.009836040999289253,30,2,53.666666666666664,25.491666666666664,0.294916999337147,9.836040999289253
standard,sparse_rp,0.0,0,0.9033333333333333,0.4421666666666667,0.0005724590009776875,0.011271999999735272,30,2,90.33333333333333,44.21666666666667,0.5724590009776875,11.271999999735272
standard,sparse_rp,0.0,1,0.9533333333333334,0.4769166666666667,0.000450790999821038,0.010647750001226086,30,2,95.33333333333334,47.69166666666667,0.450790999821038,10.647750001226086
standard,sparse_rp,0.0,2,0.9466666666666667,0.38375,0.00044308300130069256,0.010263791999022942,30,2,94.66666666666667,38.375,0.44308300130069256,10.263791999022942
standard,sparse_rp,0.1,0,0.9066666666666666,0.4355833333333334,0.00042916699931083713,0.010323041999072302,30,2,90.66666666666666,43.55833333333334,0.4291669993108371,10.323041999072302
standard,sparse_rp,0.1,1,0.9533333333333334,0.4675,0.00045991600018169265,0.01027487499959534,30,2,95.33333333333334,46.75,0.45991600018169265,10.27487499959534
standard,sparse_rp,0.1,2,0.9466666666666667,0.37816666666666665,0.0004240420003043255,0.010152582999580773,30,2,94.66666666666667,37.81666666666666,0.4240420003043255,10.152582999580773
standard,sparse_rp,0.2,0,0.9166666666666666,0.42275,0.00044304199946054723,0.010248875001707347,30,2,91.66666666666666,42.275,0.44304199946054723,10.248875001707347
standard,sparse_rp,0.2,1,0.9533333333333334,0.45025,0.0005335419991752133,0.010622083000271232,30,2,95.33333333333334,45.025,0.5335419991752133,10.622083000271232
standard,sparse_rp,0.2,2,0.94,0.3620833333333333,0.00044637499922828283,0.010675707999325823,30,2,94.0,36.20833333333333,0.44637499922828283,10.675707999325823
standard,sparse_rp,0.35,0,0.9066666666666666,0.3929166666666667,0.0004332089993113186,0.010321792000468122,30,2,90.66666666666666,39.29166666666667,0.4332089993113186,10.321792000468122
standard,sparse_rp,0.35,1,0.9533333333333334,0.41758333333333336,0.00042750000102387276,0.010340332999476232,30,2,95.33333333333334,41.75833333333333,0.42750000102387276,10.340332999476232
standard,sparse_rp,0.35,2,0.94,0.3359166666666667,0.00041891699947882444,0.010157250000702334,30,2,94.0,33.59166666666667,0.41891699947882444,10.157250000702334
standard,isomap,0.0,0,0.9866666666666667,0.8475,0.14122266699996544,0.3895812920000026,30,2,98.66666666666667,84.75,141.22266699996544,389.5812920000026
standard,isomap,0.0,1,0.9933333333333333,0.8683333333333333,0.14438625000002503,0.3863459580006747,30,2,99.33333333333333,86.83333333333333,144.38625000002503,386.3459580006747
standard,isomap,0.0,2,0.98,0.8749166666666668,0.13933600000018487,0.38369670800057065,30,2,98.0,87.49166666666667,139.33600000018487,383.69670800057065
standard,isomap,0.1,0,0.9833333333333333,0.84275,0.14062429099976725,0.38398495799992816,30,2,98.33333333333333,84.275,140.62429099976725,383.98495799992816
standard,isomap,0.1,1,0.9866666666666667,0.8649166666666668,0.13998083299884456,0.3848164999999426,30,2,98.66666666666667,86.49166666666667,139.98083299884456,384.8164999999426
standard,isomap,0.1,2,0.9833333333333333,0.8674166666666667,0.1437532910003938,0.38645999999971536,30,2,98.33333333333333,86.74166666666667,143.7532910003938,386.45999999971536
standard,isomap,0.2,0,0.98,0.8325,0.1474490840009821,0.3880270419995213,30,2,98.0,83.25,147.4490840009821,388.0270419995213
standard,isomap,0.2,1,0.99,0.8510000000000001,0.13913374999901862,0.37931570900036604,30,2,99.0,85.10000000000001,139.13374999901862,379.31570900036604
standard,isomap,0.2,2,0.98,0.8620000000000001,0.1357439160001377,0.3725860409995221,30,2,98.0,86.20000000000002,135.7439160001377,372.5860409995221
standard,isomap,0.35,0,0.98,0.8217500000000001,0.14117166600044584,0.3815669159994286,30,2,98.0,82.17500000000001,141.17166600044584,381.5669159994286
standard,isomap,0.35,1,0.98,0.5578333333333334,0.137587416000315,0.3809918330007349,30,2,98.0,55.78333333333334,137.587416000315,380.9918330007349
standard,isomap,0.35,2,0.98,0.82675,0.140171458999248,0.38006183300058183,30,2,98.0,82.675,140.171458999248,380.0618330005818
standard,lle,0.0,0,0.9833333333333333,0.5661666666666666,0.060163665999425575,0.13570795899977384,30,2,98.33333333333333,56.61666666666666,60.163665999425575,135.70795899977384
standard,lle,0.0,1,0.9866666666666667,0.6294166666666667,0.058634791001168196,0.13122620900139736,30,2,98.66666666666667,62.94166666666668,58.634791001168196,131.22620900139736
standard,lle,0.0,2,0.9733333333333334,0.53825,0.058303957999669365,0.12953312500030734,30,2,97.33333333333334,53.825,58.303957999669365,129.53312500030734
standard,lle,0.1,0,0.9866666666666667,0.5506666666666666,0.0581653749995894,0.1306727499995759,30,2,98.66666666666667,55.06666666666666,58.1653749995894,130.6727499995759
standard,lle,0.1,1,0.98,0.5554166666666667,0.058721375000459375,0.13110758299990266,30,2,98.0,55.541666666666664,58.721375000459375,131.10758299990266
standard,lle,0.1,2,0.9666666666666667,0.5120833333333332,0.05887241699929291,0.130947333000222,30,2,96.66666666666667,51.20833333333332,58.87241699929291,130.947333000222
standard,lle,0.2,0,0.9866666666666667,0.4598333333333333,0.058275458999560215,0.12944624999909138,30,2,98.66666666666667,45.983333333333334,58.275458999560215,129.44624999909138
standard,lle,0.2,1,0.7466666666666667,0.5003333333333333,0.06008987499990326,0.1328057919999992,30,2,74.66666666666667,50.03333333333333,60.08987499990326,132.8057919999992
standard,lle,0.2,2,0.9866666666666667,0.49866666666666665,0.058498082998994505,0.13113470899952517,30,2,98.66666666666667,49.86666666666667,58.498082998994505,131.13470899952517
standard,lle,0.35,0,0.98,0.502,0.05849941700034833,0.13082575000044017,30,2,98.0,50.2,58.49941700034833,130.82575000044017
standard,lle,0.35,1,0.7266666666666667,0.5983333333333334,0.05897058300070057,0.1319645829989895,30,2,72.66666666666667,59.833333333333336,58.97058300070057,131.9645829989895
standard,lle,0.35,2,0.9733333333333334,0.45741666666666675,0.05818133300090267,0.12910958400061645,30,2,97.33333333333334,45.741666666666674,58.18133300090267,129.10958400061645
holes,raw_knn,0.0,0,0.9933333333333333,,,0.0011820840009022504,30,2,99.33333333333333,,,1.1820840009022504
holes,raw_knn,0.0,1,0.9733333333333334,,,0.0012360420005279593,30,2,97.33333333333334,,,1.2360420005279593
holes,raw_knn,0.0,2,0.98,,,0.0011766669995267875,30,2,98.0,,,1.1766669995267875
holes,raw_knn,0.1,0,0.9933333333333333,,,0.001242291999005829,30,2,99.33333333333333,,,1.242291999005829
holes,raw_knn,0.1,1,0.9733333333333334,,,0.0013009160011279164,30,2,97.33333333333334,,,1.3009160011279164
holes,raw_knn,0.1,2,0.9866666666666667,,,0.0012408330003381707,30,2,98.66666666666667,,,1.2408330003381707
holes,raw_knn,0.2,0,0.9933333333333333,,,0.0012097500002710149,30,2,99.33333333333333,,,1.2097500002710149
holes,raw_knn,0.2,1,0.9733333333333334,,,0.0013005000000703149,30,2,97.33333333333334,,,1.3005000000703149
holes,raw_knn,0.2,2,0.9833333333333333,,,0.0011978750007983763,30,2,98.33333333333333,,,1.1978750007983763
holes,raw_knn,0.35,0,0.99,,,0.0012652909990720218,30,2,99.0,,,1.2652909990720218
holes,raw_knn,0.35,1,0.9733333333333334,,,0.0012799590003851335,30,2,97.33333333333334,,,1.2799590003851335
holes,raw_knn,0.35,2,0.9733333333333334,,,0.0013128749997122213,30,2,97.33333333333334,,,1.3128749997122213
holes,pca,0.0,0,0.82,0.49200000000000005,0.0003920840008504456,0.010273541000060504,30,2,82.0,49.2,0.3920840008504456,10.273541000060504
holes,pca,0.0,1,0.8133333333333334,0.5049166666666667,0.0003885830010403879,0.010327374999178573,30,2,81.33333333333333,50.49166666666667,0.3885830010403879,10.327374999178573
holes,pca,0.0,2,0.7966666666666666,0.49225,0.0003889580002578441,0.010453792001499096,30,2,79.66666666666666,49.225,0.3889580002578441,10.453792001499096
holes,pca,0.1,0,0.84,0.47741666666666666,0.0003960409994760994,0.010405417000583839,30,2,84.0,47.74166666666667,0.3960409994760994,10.405417000583839
holes,pca,0.1,1,0.8133333333333334,0.49933333333333335,0.00039525000102003105,0.010721374999775435,30,2,81.33333333333333,49.93333333333334,0.39525000102003105,10.721374999775435
holes,pca,0.1,2,0.7866666666666666,0.48066666666666663,0.00038762500116718,0.010521750000407337,30,2,78.66666666666666,48.06666666666666,0.38762500116718,10.521750000407337
holes,pca,0.2,0,0.8233333333333334,0.46275000000000005,0.00037487500048882794,0.010196458000791608,30,2,82.33333333333334,46.275000000000006,0.37487500048882794,10.196458000791608
